,precision,recall,f1-score,support
10,0.583984375,0.6203319502074689,0.6016096579476862,482.0
40,0.6554809843400448,0.7918918918918919,0.7172582619339045,370.0
50,0.788961038961039,0.8586572438162544,0.8223350253807106,283.0
60,0.9836065573770492,0.8391608391608392,0.9056603773584906,143.0
1140,0.7207792207792207,0.7890995260663507,0.753393665158371,422.0
1160,0.9596273291925466,0.9747634069400631,0.9671361502347419,634.0
1180,0.7088607594936709,0.5233644859813084,0.6021505376344086,107.0
1280,0.6881118881118881,0.6525198938992043,0.6698434309053777,754.0
1281,0.6418439716312057,0.5171428571428571,0.5727848101265823,350.0
1300,0.9214026602176542,0.9442379182156134,0.9326805385556916,807.0
1301,0.9669421487603306,0.9435483870967742,0.9551020408163265,124.0
1302,0.8796791443850267,0.8163771712158809,0.8468468468468469,403.0
1320,0.8243512974051896,0.814595660749507,0.8194444444444444,507.0
1560,0.8359580052493438,0.8114649681528663,0.8235294117647058,785.0
1920,0.8783783783783784,0.9365994236311239,0.9065550906555091,694.0
1940,0.9133858267716536,0.8405797101449275,0.8754716981132076,138.0
2060,0.8004956629491945,0.7635933806146572,0.7816091954022988,846.0
2220,0.8974358974358975,0.8823529411764706,0.8898305084745762,119.0
2280,0.7517899761336515,0.8289473684210527,0.788485607008761,760.0
2403,0.8141809290953546,0.8273291925465839,0.8207024029574861,805.0
2462,0.8447488584474886,0.7489878542510121,0.7939914163090128,247.0
2522,0.9245049504950495,0.9408060453400504,0.9325842696629214,794.0
2582,0.6752136752136753,0.7523809523809524,0.7117117117117117,420.0
2583,0.9777089783281734,0.9687116564417177,0.9731895223420647,1630.0
2585,0.8232189973614775,0.7591240875912408,0.789873417721519,411.0
2705,0.9059139784946236,0.7985781990521327,0.8488664987405541,422.0
2905,0.991869918699187,0.9384615384615385,0.9644268774703556,130.0
accuracy,0.8319717376904394,0.8319717376904394,0.8319717376904394,0.8319717376904394
macro avg,0.8280902003225191,0.8105040203922349,0.8172990153954914,13587.0
weighted avg,0.8337365358253291,0.8319717376904394,0.8316787874376672,13587.0
