,precision,recall,f1-score,support
10,0.4891566265060241,0.4211618257261411,0.45261984392419174,482.0
40,0.41116751269035534,0.43783783783783786,0.4240837696335079,370.0
50,0.437125748502994,0.2579505300353357,0.3244444444444444,283.0
60,0.6343283582089553,0.5944055944055944,0.6137184115523466,143.0
1140,0.5476190476190477,0.5450236966824644,0.5463182897862233,422.0
1160,0.8208516886930984,0.8817034700315457,0.8501901140684411,634.0
1180,0.2978723404255319,0.1308411214953271,0.1818181818181818,107.0
1280,0.37957124842370743,0.39920424403183025,0.3891402714932127,754.0
1281,0.3231441048034934,0.21142857142857144,0.2556131260794473,350.0
1300,0.5438265786993403,0.7149938042131351,0.6177730192719486,807.0
1301,0.7419354838709677,0.3709677419354839,0.49462365591397855,124.0
1302,0.35626535626535627,0.3598014888337469,0.35802469135802467,403.0
1320,0.38461538461538464,0.41420118343195267,0.39886039886039887,507.0
1560,0.6494845360824743,0.48152866242038217,0.5530358449158742,785.0
1920,0.7028169014084507,0.7190201729106628,0.7108262108262108,694.0
1940,0.7528089887640449,0.4855072463768116,0.5903083700440528,138.0
2060,0.414070351758794,0.48699763593380613,0.447582835415535,846.0
2220,0.47692307692307695,0.2605042016806723,0.33695652173913043,119.0
2280,0.5868917576961271,0.7776315789473685,0.66893039049236,760.0
2403,0.6194926568758344,0.5763975155279503,0.5971685971685972,805.0
2462,0.6530612244897959,0.38866396761133604,0.4873096446700508,247.0
2522,0.5501583949313622,0.6561712846347607,0.5985066053991959,794.0
2582,0.6372549019607843,0.30952380952380953,0.4166666666666667,420.0
2583,0.6844732900649027,0.8411042944785276,0.7547481420313791,1630.0
2585,0.4532710280373832,0.2360097323600973,0.3104,411.0
2705,0.6674107142857143,0.7085308056872038,0.6873563218390805,422.0
2905,0.6197183098591549,0.3384615384615385,0.43781094527363185,130.0
accuracy,0.5651725914477074,0.5651725914477074,0.5651725914477074,0.5651725914477074
macro avg,0.5494561337948946,0.4816879095053293,0.5001790857291153,13587.0
weighted avg,0.5621328353254379,0.5651725914477074,0.553843861993336,13587.0
