,precision,recall,f1-score,support
10,0.38716356107660455,0.3879668049792531,0.38756476683937824,482.0
40,0.606951871657754,0.6135135135135135,0.6102150537634409,370.0
50,0.8209459459459459,0.8586572438162544,0.8393782383419689,283.0
60,0.9838709677419355,0.8531468531468531,0.9138576779026216,143.0
1140,0.7532133676092545,0.6943127962085308,0.7225647348951911,422.0
1160,0.919558359621451,0.919558359621451,0.919558359621451,634.0
1180,0.7846153846153846,0.4766355140186916,0.5930232558139534,107.0
1280,0.6644021739130435,0.6485411140583555,0.6563758389261745,754.0
1281,0.6194029850746269,0.4742857142857143,0.5372168284789645,350.0
1300,0.9166666666666666,0.9405204460966543,0.9284403669724771,807.0
1301,0.9743589743589743,0.9193548387096774,0.946058091286307,124.0
1302,0.9093484419263456,0.7965260545905707,0.8492063492063492,403.0
1320,0.8074656188605108,0.8106508875739645,0.8090551181102363,507.0
1560,0.8461538461538461,0.7987261146496816,0.8217562254259502,785.0
1920,0.9122302158273381,0.9135446685878963,0.9128869690424766,694.0
1940,0.9333333333333333,0.8115942028985508,0.8682170542635659,138.0
2060,0.7789473684210526,0.7872340425531915,0.783068783068783,846.0
2220,0.9259259259259259,0.8403361344537815,0.881057268722467,119.0
2280,0.4940119760479042,0.868421052631579,0.6297709923664122,760.0
2403,0.7991803278688525,0.7267080745341615,0.7612231620039037,805.0
2462,0.8586387434554974,0.6639676113360324,0.7488584474885845,247.0
2522,0.9132589838909542,0.9282115869017632,0.9206745783885073,794.0
2582,0.6995412844036697,0.7261904761904762,0.7126168224299065,420.0
2583,0.9819314641744549,0.9668711656441717,0.9743431221020092,1630.0
2585,0.8191489361702128,0.7493917274939172,0.7827191867852605,411.0
2705,0.8666666666666667,0.5853080568720379,0.6987270155586988,422.0
2905,0.9758064516129032,0.9307692307692308,0.952755905511811,130.0
accuracy,0.7954662545079856,0.7954662545079856,0.7954662545079856,0.7954662545079856
macro avg,0.8130644386304114,0.7663312698568873,0.783747785678402,13587.0
weighted avg,0.8094573733888037,0.7954662545079856,0.7974647568478047,13587.0
