,precision,recall,f1-score,support
10,0.6129707112970711,0.6078838174273858,0.6104166666666667,482.0
40,0.7225274725274725,0.7108108108108108,0.7166212534059946,370.0
50,0.7802547770700637,0.8657243816254417,0.8207705192629816,283.0
60,0.975609756097561,0.8391608391608392,0.9022556390977443,143.0
1140,0.7107623318385651,0.7511848341232228,0.7304147465437789,422.0
1160,0.9542586750788643,0.9542586750788643,0.9542586750788643,634.0
1180,0.6538461538461539,0.4766355140186916,0.5513513513513513,107.0
1280,0.695067264573991,0.616710875331565,0.6535488404778637,754.0
1281,0.5811209439528023,0.5628571428571428,0.5718432510885341,350.0
1300,0.9088757396449704,0.9516728624535316,0.9297820823244553,807.0
1301,0.9739130434782609,0.9032258064516129,0.9372384937238495,124.0
1302,0.885558583106267,0.8064516129032258,0.844155844155844,403.0
1320,0.769090909090909,0.834319526627219,0.8003784295175023,507.0
1560,0.7917174177831913,0.8280254777070064,0.8094645080946452,785.0
1920,0.8934081346423562,0.9178674351585014,0.9054726368159204,694.0
1940,0.9482758620689655,0.7971014492753623,0.8661417322834646,138.0
2060,0.8146718146718147,0.74822695035461,0.7800369685767098,846.0
2220,0.8991596638655462,0.8991596638655462,0.8991596638655462,119.0
2280,0.774496644295302,0.7592105263157894,0.7667774086378738,760.0
2403,0.7104446742502585,0.853416149068323,0.7753950338600452,805.0
2462,0.8644859813084113,0.7489878542510121,0.8026030368763557,247.0
2522,0.8960096735187424,0.9332493702770781,0.9142504626773597,794.0
2582,0.6883408071748879,0.7309523809523809,0.7090069284064665,420.0
2583,0.9800498753117207,0.9644171779141104,0.9721706864564007,1630.0
2585,0.8224043715846995,0.732360097323601,0.7747747747747747,411.0
2705,0.8581560283687943,0.8601895734597157,0.8591715976331362,422.0
2905,0.9763779527559056,0.9538461538461539,0.9649805447470817,130.0
accuracy,0.8226981673658644,0.8226981673658644,0.8226981673658644,0.8226981673658644
macro avg,0.8200687134519832,0.8002928503199536,0.8082385843111559,13587.0
weighted avg,0.8238957354650559,0.8226981673658644,0.8220063188465766,13587.0
