,fusion_concat_embedding_50,fusion_mobilenet_simple_224,fusion_mobilenet_224_crop
10,0.6241900647948164,0.6104166666666667,0.6016096579476862
40,0.7019867549668874,0.7166212534059946,0.7172582619339045
50,0.823529411764706,0.8207705192629816,0.8223350253807106
60,0.8982456140350877,0.9022556390977444,0.9056603773584906
1140,0.7410714285714286,0.7304147465437789,0.753393665158371
1160,0.940625,0.9542586750788644,0.9671361502347419
1180,0.5454545454545454,0.5513513513513513,0.6021505376344086
1280,0.6797957695113056,0.6535488404778637,0.6698434309053777
1281,0.5658682634730539,0.5718432510885341,0.5727848101265823
1300,0.9487970388648982,0.9297820823244553,0.9326805385556916
1301,0.942528735632184,0.9372384937238496,0.9551020408163265
1302,0.8120104438642298,0.844155844155844,0.8468468468468469
1320,0.8170128585558852,0.8003784295175023,0.8194444444444444
1560,0.8202465931213497,0.8094645080946452,0.8235294117647058
1920,0.8960328317373462,0.9054726368159204,0.9065550906555091
1940,0.8913857677902621,0.8661417322834646,0.8754716981132076
2060,0.7808564231738035,0.7800369685767098,0.7816091954022988
2220,0.8273092369477912,0.8991596638655462,0.8898305084745762
2280,0.8318584070796461,0.7667774086378738,0.788485607008761
2403,0.7831632653061223,0.7753950338600452,0.8207024029574861
2462,0.8064516129032259,0.8026030368763557,0.7939914163090128
2522,0.9232736572890026,0.9142504626773597,0.9325842696629214
2582,0.735148514851485,0.7090069284064665,0.7117117117117117
2583,0.970724191063174,0.9721706864564008,0.9731895223420647
2585,0.7714932126696833,0.7747747747747747,0.789873417721519
2705,0.8051118210862619,0.8591715976331362,0.8488664987405541
2905,0.924812030075188,0.9649805447470816,0.9644268774703556
accuracy,0.8274821520571134,0.8226981673658644,0.8319717376904394
macro avg,0.8077401294290136,0.8082385843111559,0.8172990153954914
weighted avg,0.8268962935891685,0.8220063188465766,0.8316787874376672
