,fusion_concat_embedding_50,fusion_mobilenet_simple_224,fusion_mobilenet_224_crop
10,0.6509009009009009,0.6129707112970711,0.583984375
40,0.6883116883116883,0.7225274725274725,0.6554809843400448
50,0.8067796610169492,0.7802547770700637,0.788961038961039
60,0.9014084507042254,0.975609756097561,0.9836065573770492
1140,0.70042194092827,0.7107623318385651,0.7207792207792207
1160,0.9318885448916407,0.9542586750788644,0.9596273291925466
1180,0.4263157894736842,0.6538461538461539,0.7088607594936709
1280,0.7552674230145867,0.695067264573991,0.6881118881118881
1281,0.5943396226415094,0.5811209439528023,0.6418439716312057
1300,0.9447174447174448,0.9088757396449704,0.9214026602176542
1301,0.8978102189781022,0.9739130434782608,0.9669421487603306
1302,0.8567493112947658,0.885558583106267,0.8796791443850267
1320,0.8194444444444444,0.769090909090909,0.8243512974051896
1560,0.8359788359788359,0.7917174177831913,0.8359580052493438
1920,0.8528645833333334,0.8934081346423562,0.8783783783783784
1940,0.9224806201550388,0.9482758620689656,0.9133858267716536
2060,0.8355795148247979,0.8146718146718147,0.8004956629491945
2220,0.7923076923076923,0.8991596638655462,0.8974358974358975
2280,0.8004866180048662,0.774496644295302,0.7517899761336515
2403,0.8047182175622543,0.7104446742502585,0.8141809290953546
2462,0.8032128514056225,0.8644859813084113,0.8447488584474886
2522,0.9376623376623376,0.8960096735187424,0.9245049504950495
2582,0.7654639175257731,0.6883408071748879,0.6752136752136753
2583,0.9752321981424148,0.9800498753117208,0.9777089783281734
2585,0.7209302325581395,0.8224043715846995,0.8232189973614775
2705,0.7311411992263056,0.8581560283687943,0.9059139784946236
2905,0.9044117647058824,0.9763779527559056,0.991869918699187
accuracy,0.8274821520571134,0.8226981673658644,0.8319717376904394
macro avg,0.8021046675819075,0.8200687134519832,0.8280902003225191
weighted avg,0.830117016658881,0.8238957354650559,0.8337365358253291
