,image_CNN_Lenet_50,image_VGG16_224,image_MobileNetV2,image_ResNet50_224,image_mobilenet_224,image_mobilenet_224_crop,image_mobilenet_224_crop_255
10,0.2446483180428134,0.0039682539682539,0.0,0.0144628099173553,0.4143763213530655,0.25,0.45261984392419174
40,0.2567287784679088,0.0689655172413793,0.0,0.0,0.4013683010262258,0.2025316455696202,0.4240837696335079
50,0.0068728522336769,0.0123839009287925,0.0,0.0,0.1994459833795013,0.0408163265306122,0.3244444444444444
60,0.0218253968253968,0.0137524557956777,0.0,0.0,0.4302788844621514,0.0,0.6137184115523466
1140,0.0067340067340067,0.0125195618153364,0.0,0.0,0.3564875491480996,0.1318681318681318,0.5463182897862233
1160,0.0,0.0162412993039443,0.0,0.0,0.7505720823798627,0.2093023255813953,0.8501901140684411
1180,0.0108843537414965,0.006635700066357,0.0,0.0,0.0854700854700854,0.1538461538461538,0.1818181818181818
1280,0.0052631578947368,0.0,0.0,0.0,0.2690739662201514,0.0210526315789473,0.3891402714932127
1281,0.0464316423043852,0.0647715005397625,0.0,0.053177691309987,0.1219512195121951,0.0789473684210526,0.2556131260794473
1300,0.0,0.0,0.0,0.0,0.4652812975164724,0.1238938053097345,0.6177730192719486
1301,0.004627844195912,0.0160965794768611,0.0,0.0058201058201058,0.2080924855491329,0.0625,0.49462365591397855
1302,0.0035746201966041,0.0086767895878524,0.0,0.0,0.187012987012987,0.0357142857142857,0.35802469135802467
1320,0.0,0.0108695652173913,0.0,0.0,0.276094276094276,0.1134751773049645,0.39886039886039887
1560,0.0,0.0,0.0,0.0,0.4223758642363293,0.2842639593908629,0.5530358449158742
1920,0.0,0.004,0.0,0.0,0.6896046852122986,0.2557377049180328,0.7108262108262108
1940,0.0149253731343283,0.0067796610169491,0.0,0.0,0.358974358974359,0.1904761904761904,0.5903083700440528
2060,0.0167973124300112,0.0706655710764174,0.0,0.0,0.3658138268916712,0.1617250673854447,0.447582835415535
2220,0.0194931773879142,0.0103168754605747,0.0,0.0,0.1932367149758454,0.0,0.33695652173913043
2280,0.0078201368523949,0.0,0.0,0.0,0.5927903871829105,0.1282051282051282,0.66893039049236
2403,0.0044052863436123,0.0,0.0,0.0,0.5030336458907887,0.1359223300970873,0.5971685971685972
2462,0.0,0.0390625,0.0,0.0,0.2705882352941177,0.0,0.4873096446700508
2522,0.0023781212841854,0.0,0.0,0.0,0.52625,0.2807017543859649,0.5985066053991959
2582,0.0,0.0,0.0,0.0032520325203252,0.2959770114942529,0.0895522388059701,0.4166666666666667
2583,0.0,0.0,0.0,0.0,0.6698754246885616,0.1375661375661376,0.7547481420313791
2585,0.0156739811912225,0.0436205016357688,0.0359801488833746,0.0,0.1849912739965096,0.0857142857142857,0.3104
2705,0.0,0.033103448275862,0.0,0.0,0.6606965174129353,0.0697674418604651,0.6873563218390805
2905,0.0044136191677175,0.0022246941045606,0.016618728028124,0.0029940119760479,0.6666666666666667,0.0,0.43781094527363185
accuracy,0.0182527415912269,0.0230367262824758,0.0097887686759402,0.016707146537131,0.4674321042172665,0.1611479028697571,0.5651725914477074
macro avg,0.0256851103121601,0.0164686805745089,0.0019481065522777,0.0029520982053267,0.3913474093348686,0.1201325959455729,0.5001790857291153
weighted avg,0.0206962511166307,0.0139414708256263,0.0012473891097904,0.0020652119434589,0.4529236333053763,0.1466381237405434,0.553843861993336
