,image_CNN_Lenet_50,image_VGG16_224,image_MobileNetV2,image_ResNet50_224,image_mobilenet_224,image_mobilenet_224_crop,image_mobilenet_224_crop_255
10,0.4651162790697674,0.0454545454545454,0.0,0.0144032921810699,0.4224137931034483,0.2222222222222222,0.4891566265060241
40,0.5486725663716814,0.0952380952380952,0.0,0.0,0.3471400394477317,0.2352941176470588,0.41116751269035534
50,0.125,0.05,0.0,0.0,0.4615384615384615,0.0526315789473684,0.437125748502994
60,0.0127167630057803,0.008,0.0,0.0,0.5,0.0,0.6343283582089553
1140,0.0116279069767441,0.0184331797235023,0.0,0.0,0.3988269794721407,0.1578947368421052,0.5476190476190477
1160,0.0,0.0307017543859649,0.0,0.0,0.7267355982274741,0.9,0.8208516886930984
1180,0.0058694057226705,0.0035714285714285,0.0,0.0,0.5,0.5,0.2978723404255319
1280,0.3333333333333333,0.0,0.0,0.0,0.2398753894080997,0.0588235294117647,0.37957124842370743
1281,0.033210332103321,0.0370522848909016,0.0,0.0278532608695652,0.2112676056338028,0.0625,0.3231441048034934
1300,0.0,0.0,0.0,0.0,0.3936535162950257,0.2058823529411764,0.5438265786993403
1301,0.0024301336573511,0.0107238605898123,0.0,0.0030087527352297,0.3673469387755102,0.05,0.7419354838709677
1302,0.0027932960893854,0.0077071290944123,0.0,0.0,0.1961852861035422,0.05,0.35626535626535627
1320,0.0,0.0666666666666666,0.0,0.0,0.3203125,0.0869565217391304,0.38461538461538464
1560,0.0,0.0,0.0,0.0,0.4168734491315136,0.2616822429906542,0.6494845360824743
1920,0.0,0.0065359477124183,0.0,0.0,0.7008928571428571,0.1688311688311688,0.7028169014084507
1940,0.0085653104925053,0.0040160642570281,0.0,0.0,0.4375,0.3333333333333333,0.7528089887640449
2060,0.0159574468085106,0.0541561712846347,0.0,0.0,0.3390514631685166,0.1016949152542373,0.414070351758794
2220,0.0126903553299492,0.005654281098546,0.0,0.0,0.2272727272727272,0.0,0.47692307692307695
2280,0.0152091254752851,0.0,0.0,0.0,0.6016260162601627,0.3333333333333333,0.5868917576961271
2403,0.0194174757281553,0.0,0.0,0.0,0.4523809523809524,0.3043478260869565,0.6194926568758344
2462,0.0,0.0287907869481765,0.0,0.0,0.4946236559139785,0.0,0.6530612244897959
2522,0.0212765957446808,0.0,0.0,0.0,0.5223325062034739,0.233009708737864,0.5501583949313622
2582,0.0,0.0,0.0,0.0051282051282051,0.3731884057971014,0.1071428571428571,0.6372549019607843
2583,0.0,0.0,0.0,0.0,0.6219768664563617,0.3714285714285714,0.6844732900649027
2585,0.0220264317180616,0.0281096275474349,0.0241465445462114,0.0,0.3271604938271605,0.09375,0.4532710280373832
2705,0.0,0.0396039603960396,0.0,0.0,0.5694682675814752,0.0833333333333333,0.6674107142857143
2905,0.002301117685733,0.0013003901170351,0.0083965767802357,0.0016008537886872,0.7272727272727273,0.0,0.6197183098591549
accuracy,0.0182527415912269,0.0230367262824758,0.0097887686759402,0.016707146537131,0.4674321042172665,0.1611479028697571,0.5651725914477074
macro avg,0.0614153287152932,0.0200635619991349,0.0012053007898684,0.0019257172112132,0.4406265369042313,0.1842256426008568,0.5494561337948946
weighted avg,0.0591694395387999,0.0175459279323105,0.000810759166109,0.0014297542225044,0.4609061203725943,0.2319483481969532,0.5621328353254379
