,image_CNN_Lenet_50,image_VGG16_224,image_MobileNetV2,image_ResNet50_224,image_mobilenet_224,image_mobilenet_224_crop,image_mobilenet_224_crop_255
10,0.1659751037344398,0.0020746887966804,0.0,0.0145228215767634,0.4066390041493776,0.2857142857142857,0.4211618257261411
40,0.1675675675675675,0.054054054054054,0.0,0.0,0.4756756756756757,0.1777777777777777,0.43783783783783786
50,0.0035335689045936,0.0070671378091872,0.0,0.0,0.127208480565371,0.0333333333333333,0.2579505300353357
60,0.0769230769230769,0.0489510489510489,0.0,0.0,0.3776223776223776,0.0,0.5944055944055944
1140,0.0047393364928909,0.0094786729857819,0.0,0.0,0.3222748815165877,0.1132075471698113,0.5450236966824644
1160,0.0,0.0110410094637223,0.0,0.0,0.7760252365930599,0.1184210526315789,0.8817034700315457
1180,0.0747663551401869,0.0467289719626168,0.0,0.0,0.0467289719626168,0.0909090909090909,0.1308411214953271
1280,0.0026525198938992,0.0,0.0,0.0,0.3063660477453581,0.0128205128205128,0.39920424403183025
1281,0.0771428571428571,0.2571428571428571,0.0,0.5857142857142857,0.0857142857142857,0.1071428571428571,0.21142857142857144
1300,0.0,0.0,0.0,0.0,0.5687732342007435,0.0886075949367088,0.7149938042131351
1301,0.0483870967741935,0.032258064516129,0.0,0.0887096774193548,0.1451612903225806,0.0833333333333333,0.3709677419354839
1302,0.0049627791563275,0.009925558312655,0.0,0.0,0.1786600496277915,0.0277777777777777,0.3598014888337469
1320,0.0,0.0059171597633136,0.0,0.0,0.2426035502958579,0.1632653061224489,0.41420118343195267
1560,0.0,0.0,0.0,0.0,0.4280254777070064,0.3111111111111111,0.48152866242038217
1920,0.0,0.0028818443804034,0.0,0.0,0.6786743515850144,0.527027027027027,0.7190201729106628
1940,0.0579710144927536,0.0217391304347826,0.0,0.0,0.3043478260869565,0.1333333333333333,0.4855072463768116
2060,0.0177304964539007,0.1016548463356974,0.0,0.0,0.3971631205673759,0.3947368421052631,0.48699763593380613
2220,0.042016806722689,0.0588235294117647,0.0,0.0,0.1680672268907563,0.0,0.2605042016806723
2280,0.0052631578947368,0.0,0.0,0.0,0.5842105263157895,0.0793650793650793,0.7776315789473685
2403,0.0024844720496894,0.0,0.0,0.0,0.5664596273291925,0.0875,0.5763975155279503
2462,0.0,0.0607287449392712,0.0,0.0,0.1862348178137652,0.0,0.38866396761133604
2522,0.0012594458438287,0.0,0.0,0.0,0.5302267002518891,0.3529411764705882,0.6561712846347607
2582,0.0,0.0,0.0,0.0023809523809523,0.2452380952380952,0.0769230769230769,0.30952380952380953
2583,0.0,0.0,0.0,0.0,0.7257668711656442,0.0844155844155844,0.8411042944785276
2585,0.0121654501216545,0.097323600973236,0.0705596107055961,0.0,0.1289537712895377,0.0789473684210526,0.2360097323600973
2705,0.0,0.0284360189573459,0.0,0.0,0.7867298578199052,0.06,0.7085308056872038
2905,0.0538461538461538,0.0076923076923076,0.8,0.023076923076923,0.6153846153846154,0.0,0.3384615384615385
accuracy,0.0182527415912269,0.0230367262824758,0.0097887686759402,0.016707146537131,0.4674321042172665,0.1611479028697571,0.5651725914477074
macro avg,0.0303476762650163,0.0319970091438094,0.0322429485446517,0.0264594318580844,0.3853679989421195,0.1292078173645049,0.4816879095053293
weighted avg,0.0182527415912269,0.0230367262824758,0.0097887686759402,0.016707146537131,0.4674321042172665,0.1611479028697571,0.5651725914477074
